candidate,instance,step,x
13,15,3,15.5
13,15,4,15.63
13,16,2,16.38
13,17,2,17.38
13,17,3,17.5
13,18,2,18.38
13,18,3,18.5
13,20,2,20.38
13,21,2,21.38
13,24,2,24.38
13,24,3,24.5
13,24,4,24.63
13,24,5,24.75
13,24,6,24.88
13,25,2,25.38
13,25,3,25.5
13,25,4,25.63
13,25,5,25.75
13,25,6,25.88
13,27,5,27.75
13,29,2,29.38
13,32,2,32.38
13,32,3,32.5
13,34,0,34.13
13,35,6,35.88
13,36,1,36.25
13,40,2,40.38
13,41,2,41.38
13,43,2,43.38
13,43,3,43.5
13,43,4,43.63
13,43,5,43.75
13,43,6,43.88
14,0,1,0.25
14,0,2,0.38
14,0,3,0.5
14,0,4,0.63
14,0,5,0.75
14,1,1,1.25
14,1,3,1.5
14,2,1,2.25
14,2,2,2.38
14,2,3,2.5
14,4,1,4.25
14,5,1,5.25
14,5,2,5.38
14,5,3,5.5
14,5,4,5.63
14,5,5,5.75
14,6,1,6.25
14,6,2,6.38
14,6,3,6.5
14,6,4,6.63
14,6,5,6.75
14,7,1,7.25
14,7,2,7.38
14,7,3,7.5
14,7,4,7.63
14,7,5,7.75
14,8,1,8.25
14,9,1,9.25
14,9,2,9.38
14,9,3,9.5
14,9,4,9.63
14,9,5,9.75
14,10,3,10.5
14,12,1,12.25
14,12,2,12.38
14,13,0,13.13
14,13,1,13.25
14,14,1,14.25
14,14,2,14.38
14,14,3,14.5
14,14,4,14.63
14,17,1,17.25
14,19,1,19.25
14,22,1,22.25
14,23,1,23.25
14,24,1,24.25
14,24,2,24.38
14,24,3,24.5
14,25,1,25.25
14,25,2,25.38
14,25,3,25.5
14,26,1,26.25
14,26,2,26.38
14,26,3,26.5
14,27,3,27.5
14,28,1,28.25
14,28,3,28.5
14,29,1,29.25
14,30,1,30.25
14,31,1,31.25
14,33,1,33.25
14,34,1,34.25
14,35,1,35.25
14,36,1,36.25
14,39,1,39.25
14,39,2,39.38
14,39,3,39.5
14,39,4,39.63
14,39,5,39.75
14,40,1,40.25
14,42,1,42.25
15,0,2,0.38
15,0,3,0.5
15,0,4,0.63
15,0,5,0.75
15,0,6,0.88
15,1,2,1.38
15,2,4,2.63
15,3,1,3.25
15,3,2,3.38
15,4,2,4.38
15,8,2,8.38
15,8,3,8.5
15,8,4,8.63
15,8,5,8.75
15,13,2,13.38
15,15,2,15.38
15,15,3,15.5
15,15,4,15.63
15,16,2,16.38
15,19,2,19.38
15,19,3,19.5
15,20,2,20.38
15,20,3,20.5
15,20,4,20.63
15,22,2,22.38
15,23,2,23.38
15,26,2,26.38
15,26,3,26.5
15,26,4,26.63
15,27,5,27.75
15,29,2,29.38
15,30,2,30.38
15,31,2,31.38
15,31,3,31.5
15,31,4,31.63
15,31,5,31.75
15,31,6,31.88
15,32,2,32.38
15,32,3,32.5
15,33,2,33.38
15,33,3,33.5
